"title","shortDescription","ritualPacks","journeys","loveTypes","timeTaken","relationalNeeds","lifeContexts","emotionalStates","ritualMode","depth","rhythm","steps","longDescription","semanticSummary"
"Past + Future Snapshots","Each shares one memory that shaped them and one dream that excites them.","","","BEYOND, BELONG","MEDIUM","CONNECTION","","","","","","","",""
"Shared Stillness ","Sit together in silence, hands touching, breathing slow.","Becoming Us","","BEYOND, BELONG, GRACE","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Our Love’s Vow","Renew a small promise to each other","","","BEYOND","","TRUST_AND_SAFETY, CONNECTION","","","","","","","",""
"Shared Wonder Walk","Go on a walk in nature or city and share what sparks wonder.","","","SPARK, BEYOND","MEDIUM","PLAY_AND_JOY","","","","","","","",""
"Create a Love Offering","Cook, draw, or build something together that symbolizes your bond ","","","SPARK, BEYOND","","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Dreamboard Night","Make a vision collage or digital board of shared dreams.","","","SPARK, BEYOND","EXTENDED","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"“I’ve Got You” Promise ","Name one way you’ll support each other’s next step. ","","","BEYOND, GROW","SHORT","SUPPORT","","","","","","","",""
"Gift of Words","Write and exchange 3-line love notes","","","BEYOND","","GRATITUDE_AND_APPRECIATION, COMMUNICATION","","","","","","","",""
"Relationship as Garden","Talk about what your relationship needs more or less of now. ","","","BEYOND","MEDIUM","GROWTH, COMMUNICATION","","","","","","","",""
"1-Year Horizon","Talk about where you’d like to be, individually and together, a year from now. ","","","BEYOND","MEDIUM","GROWTH, COMMUNICATION","","","","","","","",""
"What We’ve Become ","Reflect on how your love has changed you ","","","GROW, BEYOND","","GROWTH, UNDERSTANDING","","","","","","","",""
"Through Each Season ","Describe what you’ve learned from each phase together","","","GROW, BEYOND","","GROWTH, UNDERSTANDING","","","","","","","",""
"Shared Vision Note ","Write one intention for the future and revisit it in a year ","","","BEYOND","","GROWTH, CONNECTION","","","","","","","",""
"Timeline of Us","Sketch or voice-note 5 milestones of your journey","","","BEYOND","","GROWTH, CONNECTION","","","","","","","",""
"Breath Together","Sit close, sync your breath for a minute; feel each other’s presence.","Finding Our Way Back, Soften the Edges, Shelter in Each Other","Feeling Distant","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME, TRUST_AND_SAFETY","","","","","","","",""
"Inner Weather Report","Each partner names their inner weather: “Today I feel cloudy/sunny/stormy…” No fixing, just witnessing.
","Finding Our Way Back","Feeling Distant","GROW","SHORT","UNDERSTANDING","","","","","","","",""
"Touch Anchor","Hold hands silently for 30 seconds before speaking.","Finding Our Way Back","Feeling Distant","BELONG","MOMENT","PRESENCE_AND_QUALITY_TIME, TRUST_AND_SAFETY","","","","","","","",""
"What’s Been Between Us","Complete: “Lately I’ve felt distant because…”","Finding Our Way Back","Feeling Distant","BELONG","MEDIUM","UNDERSTANDING","","","","","","","",""
"Tiny Truths","Share one small truth you’ve been holding back.","Finding Our Way Back","Feeling Distant","BELONG, GROW","SHORT","CONNECTION","","","","","","","",""
"Memory Sparks","Recall one warm shared moment.","Finding Our Way Back","Feeling Distant","BELONG, SPARK","SHORT","GRATITUDE_AND_APPRECIATION, CONNECTION","","","","","","","",""
"Three Appreciations","Name 3 things you cherish about your partner.","Finding Our Way Back","Feeling Distant","GRACE","SHORT","CONNECTION","","","","","","","",""
"Comfort Exchange","Ask: “What gesture helps you feel loved right now?”","Finding Our Way Back","Feeling Distant","CARE","","UNDERSTANDING","","","","","","","",""
"Reconnection Walk","Quiet walk noticing small details together.","Finding Our Way Back","Feeling Distant","SPARK","","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"One Shared Song","Play a song that feels like “us.”","Finding Our Way Back","Feeling Distant","BELONG","","PRESENCE_AND_QUALITY_TIME, PLAY_AND_JOY","","","","","","","",""
"Cook Together Evening","Make a simple meal with ease and laughter.","Finding Our Way Back","Feeling Distant","CARE, BELONG","","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Weekly 5-Minute Check-In","Rate connection 1–10 and share briefly.","Finding Our Way Back","Feeling Distant","GROW, BELONG","","COMMUNICATION, CONNECTION","","","","","","","",""
"Mini Gratitude Exchange","Share one small appreciation often.","Finding Our Way Back","Feeling Distant","GRACE","EXTENDED","CONNECTION","","","","","","","",""
"Tiny Note Ritual","Leave a brief “thinking of you” note weekly.","Finding Our Way Back","Feeling Distant","GRACE","MOMENT","CONNECTION","","","","","","","",""
"Shared Stillness","Sit quietly, eyes closed, imagining being on the same emotional team.","Bridges of Understanding","Feeling Distant","SELF, BELONG","SHORT","PRESENCE_AND_QUALITY_TIME","","","","","","","",""
"Check-In Compass","Each shares where they are on 4 simple scales: energy, stress, emotion, closeness.","","Feeling Distant","BELONG","SHORT","COMMUNICATION, UNDERSTANDING","","","","","","","",""
"One Truth, One Tenderness","Each shares one truth they haven’t voiced lately, and one thing they appreciate.","Bridges of Understanding","Feeling Distant","CARE, BELONG","MEDIUM","TRUST_AND_SAFETY, UNDERSTANDING","","","","","","","",""
"Right Now, I’m With You","One partner softly says this sentence while making gentle eye contact.","","Feeling Distant","BELONG","MOMENT","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"What I Think You Might Be Feeling","Guess what your partner might be feeling; they confirm or adjust.","Bridges of Understanding","Feeling Distant","BELONG","MEDIUM","UNDERSTANDING, COMMUNICATION","","","","","","","",""
"Emotion Echo","One shares a short reflection, the other mirrors back what they heard, using “So you felt…”","Finding Our Way Back","Feeling Distant","BELONG, GROW","MEDIUM","UNDERSTANDING, COMMUNICATION","","","","","","","",""
"Feeling Words Deck","Pick 3 feeling words each to describe your state and share why.","","Feeling Distant","GROW","LONG","UNDERSTANDING, COMMUNICATION","","","","","","","",""
"The “I Miss You” Letter ","Write a short note expressing what you miss about your connection.","","Feeling Distant","CARE","MEDIUM","CONNECTION","","","","","","","",""
"Appreciation Round ","Name one small thing your partner did recently that made you feel loved.","","Feeling Distant","BELONG, CARE","SHORT","GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Gentle Touch Pause","Hold your partner’s face or hand softly while saying one kind thing.","Bridges of Understanding","Feeling Distant","CARE","MOMENT","INTIMACY, GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Shared Listening Night","15 minutes of one-way sharing, then switch. No interruptions.","Bridges of Understanding","Feeling Distant","BELONG, GROW","LONG","COMMUNICATION, UNDERSTANDING","","","","","","","",""
"Tomorrow’s Intention","Each says one intention for how they’ll stay connected tomorrow.","","Feeling Distant","GROW","SHORT","GROWTH, CONNECTION","","","","","","","",""
"Quiet Closure","Sit quietly for a minute holding hands, breathing gratitude for being heard.","","Feeling Distant","BELONG","SHORT","GRATITUDE_AND_APPRECIATION, UNDERSTANDING","","","","","","","",""
"Sensory Sync ","Sit together and name 3 things you see, hear, and feel right now.","","","SELF","SHORT","PRESENCE_AND_QUALITY_TIME, SPACE","","","","","","","",""
"Light and Touch","Dim lights, light a candle, and let silence settle before talking. ","Rekindle the Spark","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME, TRUST_AND_SAFETY","","","","","","","",""
"Look Again","Spend 1 minute simply observing each other’s face without speaking.","Rekindle the Spark","","BELONG","SHORT","PRESENCE_AND_QUALITY_TIME, UNDERSTANDING","","","","","","","",""
"One Lovely Thing","Each shares one small thing you find attractive or endearing today. ","","","SPARK","SHORT","GRATITUDE_AND_APPRECIATION, INTIMACY","","","","","","","",""
"Memory Flash","Show an old photo you love of each other and say what you felt then.","","","BELONG","MEDIUM","GRATITUDE_AND_APPRECIATION, CONNECTION","","","","","","","",""
"Mini Dare Game","Take turns giving each other fun, silly dares (e.g., sing one line, make a funny face).","Everyday Magic","","SPARK","SHORT","PLAY_AND_JOY, INTIMACY","","","","","","","",""
"Dance Break","Play a favorite upbeat song and move however you like for 2 minutes. ","Rekindle the Spark","","FIRE","SHORT","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Draw Each Other Blindfolded","Fun, ridiculous portrait session to break routine.","","","SPARK","MEDIUM","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"Body Map of Appreciation","Each partner takes turns naming one physical feature they adore.","Rekindle the Spark","","FIRE","MEDIUM","INTIMACY, GRATITUDE_AND_APPRECIATION","","","","","","","",""
"Tender Gesture","Give each other a light massage on shoulders or back.","Soften the Edges","","FIRE","MEDIUM","INTIMACY","","","","","","","",""
"Evening Spark","Choose one tiny ritual (kiss, candle, word) to repeat nightly. ","Rekindle the Spark","","CARE","FLEXIBLE","PRESENCE_AND_QUALITY_TIME, CONNECTION","","","","","","","",""
"Whisper Note","Leave a one-line note or message tonight that says, “I noticed…”","","","BELONG","SHORT","GRATITUDE_AND_APPRECIATION, UNDERSTANDING","","","","","","","",""
"Quiet Wrap","End by holding each other in silence for a minute before sleep.","","","CARE","SHORT","INTIMACY","","","","","","","",""
"Morning Glimpse","Share one thing you’re curious or excited about today.","Everyday Magic","","SPARK","SHORT","PLAY_AND_JOY, CONNECTION","","","","","","","",""
"One Beautiful Thing","Name one small beauty around you (light, smell, sound).","","","SELF","MOMENT","PLAY_AND_JOY","","","","","","","",""
"Mirror Moment","Compliment your partner as they get ready — something small and sincere.","Everyday Magic","","SPARK","SHORT","GRATITUDE_AND_APPRECIATION, INTIMACY","","","","","","","",""
"Micro-Hug Pause","Hug for 5 seconds each time you cross paths during the day.","Everyday Magic","","CARE","MOMENT","INTIMACY","","","","","","","",""
